t	y	dy	ddy
1.755698302135038746e+00	5.042473569464827055e-01	5.620567139938904555e-01	2.861465151913586968e-01
1.765698302135038755e+00	5.098822193363123922e-01	5.649145615722679370e-01	2.854219633962017388e-01
1.775698302135038764e+00	5.155456239097297999e-01	5.677651325758198420e-01	2.846912047678870072e-01
1.785698302135038773e+00	5.212374975433641255e-01	5.706083650302079535e-01	2.839542560227759638e-01
1.795698302135038782e+00	5.269577665468523353e-01	5.734441971203391164e-01	2.832111347032009729e-01
1.805698302135038791e+00	5.327063566125223026e-01	5.762725672108781616e-01	2.824618592531885630e-01
1.815698302135038800e+00	5.384831928129988343e-01	5.790934138565215772e-01	2.817064490252014219e-01
1.825698302135038809e+00	5.442881996074281359e-01	5.819066758100149839e-01	2.809449242742401154e-01
1.835698302135038817e+00	5.501213008435110741e-01	5.847122920311648153e-01	2.801773061579936885e-01
1.845698302135038826e+00	5.559824197596200390e-01	5.875102016958676510e-01	2.794036167367892065e-01
1.855698302135038835e+00	5.618714789870041804e-01	5.903003442051356631e-01	2.786238789733426757e-01
1.865698302135038844e+00	5.677884005520860145e-01	5.930826591941182890e-01	2.778381167323094592e-01
1.875698302135038853e+00	5.737331058788478488e-01	5.958570865411185746e-01	2.770463547796324089e-01
1.885698302135038862e+00	5.797055157913083567e-01	5.986235663766019677e-01	2.762486187816864946e-01
1.895698302135038871e+00	5.857055505160890796e-01	6.013820390921953418e-01	2.754449353042185411e-01
1.905698302135038880e+00	5.917331296850711908e-01	6.041324453496749181e-01	2.746353318110810737e-01
1.915698302135038888e+00	5.977881723381416323e-01	6.068747260899399754e-01	2.738198366627587754e-01
1.925698302135038897e+00	6.038705969260294015e-01	6.096088225419705742e-01	2.729984791146870537e-01
1.935698302135038906e+00	6.099803213132307667e-01	6.123346762317682934e-01	2.721712893153608315e-01
1.945698302135038915e+00	6.161172627810246327e-01	6.150522289912763174e-01	2.713382983042334495e-01
1.955698302135038924e+00	6.222813380305758368e-01	6.177614229672775403e-01	2.704995380094044055e-01
1.965698302135038933e+00	6.284724631861283717e-01	6.204622006302686898e-01	2.696550412450950951e-01
1.975698302135038942e+00	6.346905537982866496e-01	6.231545047833079165e-01	2.688048417089118902e-01
1.985698302135038951e+00	6.409355248473851407e-01	6.258382785708342944e-01	2.679489739788962210e-01
1.995698302135038960e+00	6.472072907469463843e-01	6.285134654874563465e-01	2.670874735103607178e-01
